epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,913.139,1.8302,10.3442,2.21379,0.40918,0.41258,0.36983,0.1536,1.96555,11.5586,2.50829,0.005776,0.005776,0.005776
66,926.955,1.80634,10.2419,2.2008,0.26648,0.48637,0.39159,0.1653,1.87907,11.6643,2.43469,0.00571,0.00571,0.00571
67,941.657,1.79083,10.0748,2.20527,0.3688,0.40994,0.33931,0.13432,2.18205,12.6367,2.90766,0.005644,0.005644,0.005644
68,955.34,1.81428,10.1737,2.17795,0.39234,0.46555,0.42193,0.18511,1.80105,10.4199,2.3425,0.005578,0.005578,0.005578
69,969.143,1.78095,9.92118,2.1933,0.35584,0.47498,0.39966,0.16951,1.91999,10.7927,2.44081,0.005512,0.005512,0.005512
70,982.728,1.78997,9.76192,2.16027,0.36397,0.38952,0.34372,0.15784,1.91792,11.7956,2.45964,0.005446,0.005446,0.005446
71,996.309,1.77724,9.93266,2.18376,0.36815,0.43392,0.38674,0.16487,1.83206,11.1164,2.35973,0.00538,0.00538,0.00538
72,1010.73,1.75115,9.79997,2.17044,0.43304,0.45543,0.41771,0.18751,1.87111,10.9587,2.37432,0.005314,0.005314,0.005314
73,1024.51,1.72258,9.59113,2.15326,0.4615,0.48361,0.45622,0.2098,1.76509,10.0229,2.31806,0.005248,0.005248,0.005248
74,1038.58,1.74634,9.45706,2.15803,0.33662,0.41511,0.36193,0.16106,1.85064,11.3654,2.35541,0.005182,0.005182,0.005182
75,1052.16,1.71686,9.55002,2.10456,0.44347,0.45497,0.40303,0.17898,1.86107,11.0578,2.42451,0.005116,0.005116,0.005116
76,1065.74,1.69056,9.25036,2.09627,0.44838,0.40233,0.37723,0.16694,1.92049,11.5937,2.44759,0.00505,0.00505,0.00505
77,1079.28,1.7069,9.37014,2.11727,0.47461,0.50086,0.48059,0.20219,1.87078,10.4576,2.38201,0.004984,0.004984,0.004984
